Name,vCPU,MemoryGB,ODH,RH
t1.micro,1,0.6,0.020,0.008
t2.micro,1,1,0.013,0.006
t2.small,1,2,0.026,0.012
t2.medium,2,4,0.052,0.023
m3.medium,1,3.7,0.070,0.026
m3.large,2,7.5,0.140,0.052
m3.xlarge,4,15,0.280,0.105
m3.2xlarge,8,30,0.560,0.209
c4.large,2,3.7,0.116,0.043
c4.xlarge,4,7.5,0.232,0.086
c4.2xlarge,8,15,0.464,0.172
c4.4xlarge,16,30,0.928,0.344
c4.8xlarge,36,60,1.856,0.687
c3.large,2,3.7,0.105,0.039
c3.xlarge,4,7.5,0.210,0.079
c3.2xlarge,8,15,0.420,0.157
c3.4xlarge,16,30,0.840,0.315
c3.8xlarge,32,60,1.680,0.628
g2.2xlarge,8,15,0.650,0.282
g2.8xlarge,32,60,2.600,1.128
r3.large,2,15.2,0.175,0.061
r3.xlarge,4,30.5,0.350,0.123
r3.2xlarge,8,61,0.700,0.246
r3.4xlarge,16,122,1.400,0.491
r3.8xlarge,32,244,2.800,0.982
i2.xlarge,4,30.5,0.853,0.212
i2.2xlarge,8,61,1.705,0.423
i2.4xlarge,16,122,3.410,0.845
i2.8xlarge,32,244,6.820,1.69
hs1.8xlarge,16,117,4.600,1.32
d2.xlarge,4,30.5,0.690,0.198
d2.2xlarge,8,61,1.380,0.395
d2.4xlarge,16,122,2.760,0.791
d2.8xlarge,36,244,5.520,1.581
m1.small,1,1.7,0.044,0.015
m1.medium,1,3.7,0.087,0.029
m1.large,2,7.5,0.175,0.059
m1.xlarge,4,15,0.350,0.117
c1.medium,2,1.7,0.130,0.049
c1.xlarge,8,7,0.520,0.196
cc2.8xlarge,32,60.5,2.000,0.614
cg1.4xlarge,16,22.5,2.100,---
m2.xlarge,2,17.1,0.245,0.056
m2.2xlarge,4,34.2,0.490,0.112
m2.4xlarge,8,68.4,0.980,0.222
cr1.8xlarge,32,244,3.500,0.85
hi1.4xlarge,16,60.5,3.100,0.845
