Name,vCPU,MemoryGB,ODH,RH
t1.micro,1,0.6,0.020,0.01
t2.micro,1,1,0.018,0.009
t2.small,1,2,0.036,0.016
t2.medium,2,4,0.072,0.033
m3.medium,1,3.7,0.133,0.064
m3.large,2,7.5,0.266,0.127
m3.xlarge,4,15,0.532,0.255
m3.2xlarge,8,30,1.064,0.511
c4.large,2,3.7,0.199,0.113
c4.xlarge,4,7.5,0.398,0.226
c4.2xlarge,8,15,0.796,0.451
c4.4xlarge,16,30,1.592,0.903
c4.8xlarge,36,60,3.184,1.805
c3.large,2,3.7,0.188,0.108
c3.xlarge,4,7.5,0.376,0.219
c3.2xlarge,8,15,0.752,0.437
c3.4xlarge,16,30,1.504,0.874
c3.8xlarge,32,60,3.008,1.746
g2.2xlarge,8,15,0.767,0.392
g2.8xlarge,32,60,2.878,1.194
r3.large,2,15.2,0.300,0.146
r3.xlarge,4,30.5,0.600,0.263
r3.2xlarge,8,61,1.080,0.508
r3.4xlarge,16,122,1.944,0.893
r3.8xlarge,32,244,3.500,1.156
i2.xlarge,4,30.5,0.973,0.325
i2.2xlarge,8,61,1.946,0.648
i2.4xlarge,16,122,3.891,1.296
i2.8xlarge,32,244,7.782,2.593
hs1.8xlarge,16,117,4.931,1.631
d2.xlarge,4,30.5,0.821,0.254
d2.2xlarge,8,61,1.601,0.46
d2.4xlarge,16,122,3.062,0.856
d2.8xlarge,36,244,6.198,1.646
m1.small,1,1.7,0.075,0.037
m1.medium,1,3.7,0.149,0.072
m1.large,2,7.5,0.299,0.147
m1.xlarge,4,15,0.598,0.291
c1.medium,2,1.7,0.210,0.116
c1.xlarge,8,7,0.840,0.465
cc2.8xlarge,32,60.5,2.570,0.811
cg1.4xlarge,16,22.5,2.600,---
m2.xlarge,2,17.1,0.345,0.15
m2.2xlarge,4,34.2,0.690,0.301
m2.4xlarge,8,68.4,1.380,0.6
cr1.8xlarge,32,244,3.831,1.161
hi1.4xlarge,16,60.5,3.580,1.296
